Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Pakistan,PAK,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.18300056,21.2310009,21.1060009,21.05400085,21.03300095,21.03499985,20.98699951,20.99699974,20.91399956,20.93300056,20.83300018,20.75099945,20.76000023,20.56100082,20.31800079,20.72999954,20.97500038,20.11199951,20.98500061,21.41799927,21.76799965,22.3390007,22.92200089,22.87299919,24.02000046,23.59199905,23.61899948,23.6420002
Pakistan,PAK,"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.98699951,22.05599976,21.9470005,21.90999985,21.78800011,21.8560009,21.86199951,21.8939991,21.81800079,21.875,21.75900078,21.68000031,21.74300003,21.61199951,21.43099976,22.03100014,22.89900017,21.99600029,23.06100082,23.98699951,24.51000023,25.2840004,26.06500053,25.58600044,26.60899925,26.16200066,26.19599915,26.26000023
Pakistan,PAK,GDP per person employed (constant 2011 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10916.79785,11459.26074,11467.17969,11492.97461,11996.60938,12078.53516,11707.1709,11671.4209,11685.10547,11719.62988,11642.77246,11672.90234,11750.37598,12113.1416,12753.39063,13256.50195,13506.63867,13394.78223,13318.53613,13103.17773,13158.39355,13307.80566,13628.55371,13790.4209,14095.3252,14532.03223,14993.80469,15429.96094
